,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,,,,,,,,
1,1,1,female,38,1,0,71.2833,C,First,woman,FALSE,C,Cherbourg,yes,FALSE,,,,,,,,
3,1,1,female,35,1,0,53.1,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
6,0,1,male,54,0,0,51.8625,S,First,man,TRUE,E,Southampton,no,TRUE,,,,,,,,
11,1,1,female,58,0,0,26.55,S,First,woman,FALSE,C,Southampton,yes,TRUE,,Row Labels,Sum of age,Sum of sibsp,Sum of pclass,Sum of survived,Sum of fare,Sum of parch
23,1,1,male,28,0,0,35.5,S,First,man,TRUE,A,Southampton,yes,TRUE,,female,7286,218,678,233,13966.6628,204
27,0,1,male,19,3,2,263,S,First,man,TRUE,C,Southampton,no,FALSE,,male,13919.17,248,1379,109,14727.2865,136
30,0,1,male,40,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,,Grand Total,21205.17,466,2057,342,28693.9493,340
31,1,1,female,,1,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
34,0,1,male,28,1,0,82.1708,C,First,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
35,0,1,male,42,1,0,52,S,First,man,TRUE,,Southampton,no,FALSE,,,,,,,,
52,1,1,female,49,1,0,76.7292,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
54,0,1,male,65,0,1,61.9792,C,First,man,TRUE,B,Cherbourg,no,FALSE,,,,,,,,
55,1,1,male,,0,0,35.5,S,First,man,TRUE,C,Southampton,yes,TRUE,,,,,,,,
61,1,1,female,38,0,0,80,,First,woman,FALSE,B,,yes,TRUE,,,,,,,,
62,0,1,male,45,1,0,83.475,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
64,0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
83,0,1,male,28,0,0,47.1,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
88,1,1,female,23,3,2,263,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
92,0,1,male,46,1,0,61.175,S,First,man,TRUE,E,Southampton,no,FALSE,,,,,,,,
96,0,1,male,71,0,0,34.6542,C,First,man,TRUE,A,Cherbourg,no,TRUE,,,,,,,,
97,1,1,male,23,0,1,63.3583,C,First,man,TRUE,D,Cherbourg,yes,FALSE,,,,,,,,
102,0,1,male,21,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,,,,,,,,
110,0,1,male,47,0,0,52,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
118,0,1,male,24,0,1,247.5208,C,First,man,TRUE,B,Cherbourg,no,FALSE,,,,,,,,
124,0,1,male,54,0,1,77.2875,S,First,man,TRUE,D,Southampton,no,FALSE,,,,,,,,
136,1,1,female,19,0,2,26.2833,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
137,0,1,male,37,1,0,53.1,S,First,man,TRUE,C,Southampton,no,FALSE,,,,,,,,
139,0,1,male,24,0,0,79.2,C,First,man,TRUE,B,Cherbourg,no,TRUE,,,,,,,,
151,1,1,female,22,1,0,66.6,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
155,0,1,male,51,0,1,61.3792,C,First,man,TRUE,,Cherbourg,no,FALSE,,,,,,,,
166,1,1,female,,0,1,55,S,First,woman,FALSE,E,Southampton,yes,FALSE,,,,,,,,
168,0,1,male,,0,0,25.925,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
170,0,1,male,61,0,0,33.5,S,First,man,TRUE,B,Southampton,no,TRUE,,,,,,,,
174,0,1,male,56,0,0,30.6958,C,First,man,TRUE,A,Cherbourg,no,TRUE,,,,,,,,
177,0,1,female,50,0,0,28.7125,C,First,woman,FALSE,C,Cherbourg,no,TRUE,,,,,,,,
185,0,1,male,,0,0,50,S,First,man,TRUE,A,Southampton,no,TRUE,,,,,,,,
187,1,1,male,45,0,0,26.55,S,First,man,TRUE,,Southampton,yes,TRUE,,,,,,,,
194,1,1,female,44,0,0,27.7208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,,,,,,,
195,1,1,female,58,0,0,146.5208,C,First,woman,FALSE,B,Cherbourg,yes,TRUE,,,,,,,,
209,1,1,male,40,0,0,31,C,First,man,TRUE,A,Cherbourg,yes,TRUE,,,,,,,,
215,1,1,female,31,1,0,113.275,C,First,woman,FALSE,D,Cherbourg,yes,FALSE,,,,,,,,
218,1,1,female,32,0,0,76.2917,C,First,woman,FALSE,D,Cherbourg,yes,TRUE,,,,,,,,
224,1,1,male,38,1,0,90,S,First,man,TRUE,C,Southampton,yes,FALSE,,,,,,,,
230,1,1,female,35,1,0,83.475,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
245,0,1,male,44,2,0,90,Q,First,man,TRUE,C,Queenstown,no,FALSE,,,,,,,,
248,1,1,male,37,1,1,52.5542,S,First,man,TRUE,D,Southampton,yes,FALSE,,,,,,,,
252,0,1,male,62,0,0,26.55,S,First,man,TRUE,C,Southampton,no,TRUE,,,,,,,,
256,1,1,female,,0,0,79.2,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
257,1,1,female,30,0,0,86.5,S,First,woman,FALSE,B,Southampton,yes,TRUE,,,,,,,,
258,1,1,female,35,0,0,512.3292,C,First,woman,FALSE,,Cherbourg,yes,TRUE,,,,,,,,
262,0,1,male,52,1,1,79.65,S,First,man,TRUE,E,Southampton,no,FALSE,,,,,,,,
263,0,1,male,40,0,0,0,S,First,man,TRUE,B,Southampton,no,TRUE,,,,,,,,
268,1,1,female,58,0,1,153.4625,S,First,woman,FALSE,C,Southampton,yes,FALSE,,,,,,,,
269,1,1,female,35,0,0,135.6333,S,First,woman,FALSE,C,Southampton,yes,TRUE,,,,,,,,
270,0,1,male,,0,0,31,S,First,man,TRUE,,Southampton,no,TRUE,,,,,,,,
273,0,1,male,37,0,1,29.7,C,First,man,TRUE,C,Cherbourg,no,FALSE,,,,,,,,
275,1,1,female,63,1,0,77.9583,S,First,woman,FALSE,D,Southampton,yes,FALSE,,,,,,,,
284,0,1,male,,0,0,26,S,First,man,TRUE,A,Southampton,no,TRUE,,,,,,,,
290,1,1,female,26,0,0,78.85,S,First,woman,FALSE,,Southampton,yes,TRUE,,,,,,,,
291,1,1,female,19,1,0,91.0792,C,First,woman,FALSE,B,Cherbourg,yes,FALSE,,,,,,,,
295,0,1,male,,0,0,27.7208,C,First,man,TRUE,,Cherbourg,no,TRUE,,,,,,,,
297,0,1,female,2,1,2,151.55,S,First,child,FALSE,C,Southampton,no,FALSE,,,,,,,,
