Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","19992001","1999-2001","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20002002","2000-2002","g/capita/day","59.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20012003","2001-2003","g/capita/day","58.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20022004","2002-2004","g/capita/day","58.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20032005","2003-2005","g/capita/day","59","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20042006","2004-2006","g/capita/day","59.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20052007","2005-2007","g/capita/day","60.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20062008","2006-2008","g/capita/day","61.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20072009","2007-2009","g/capita/day","62.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20082010","2008-2010","g/capita/day","61.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20092011","2009-2011","g/capita/day","61","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20102012","2010-2012","g/capita/day","59.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20112013","2011-2013","g/capita/day","60.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20122014","2012-2014","g/capita/day","61.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20132015","2013-2015","g/capita/day","63.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20142016","2014-2016","g/capita/day","64.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20152017","2015-2017","g/capita/day","65","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20162018","2016-2018","g/capita/day","65.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","66","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20182020","2018-2020","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/capita/day","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","165","Pakistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20202022","2020-2022","g/capita/day","","F","FAO estimate",""
